routeId,sourceId,selectionMode,selectedKnowledgePointIds,questionType,setKind,generationPatternGroupIds,compatiblePatternSpecIds,currentVerifiedMaxQuestionCount,currentQualityStatus,currentUniqueItemSetCount,r04GapCodes
pgc_r03_g4a_u08_4a08_numeric_6942af98a8b5,g4a_u08_4a08,singleKnowledgePoint,kp_g4a_u08_num_mul_div_safe_reorder,numeric,single-form,pg_g4a_u08_num_mul_div_safe_reorder,ps_g4a_u08_num_mul_div_safe_reorder,7,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g4a_u08_4a08_numeric_32862e578f8a,g4a_u08_4a08,singleKnowledgePoint,kp_g4a_u08_num_mul_div_left_assoc,numeric,single-form,pg_g4a_u08_num_mul_div_left_assoc,ps_g4a_u08_mul_div_left_to_right,5,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g4a_u08_4a08_numeric_8f973314eb38,g4a_u08_4a08,singleKnowledgePoint,kp_g4a_u08_num_repeated_divide_group,numeric,single-form,pg_g4a_u08_num_repeated_divide_group,ps_g4a_u08_num_repeated_divide_group,10,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g4b_u01_4b01_numeric_f708edddf5d7,g4b_u01_4b01,singleKnowledgePoint,kp_g4b_u01_trailing_zero_division_exact,numeric,single-form,pg_g4b_u01_trailing_zero_division_exact,ps_g4b_u01_trailing_zero_division_exact,12,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g4b_u04_4b04_concept_56468f5e76d3,g4b_u04_4b04,singleKnowledgePoint,kp_g4b_u04_approximation_symbol_reading,concept,single-form,pg_g4b_u04_approximation_symbol,ps_g4b_u04_approx_symbol_reading,1,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g5a_u02_5a02_concept_0475992c729f,g5a_u02_5a02,sourceUnit,,concept,source-unit,,ps_g5a_u02_factor_relation_equivalence|ps_g5a_u02_divisor_candidate_selection|ps_g5a_u02_factor_statement_judgement|ps_g5a_u02_problem_type_classification|ps_g5a_u02_common_factor_concept_identification,16,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u02_5a02_numeric_5fd4e7e68270,g5a_u02_5a02,sourceUnit,,numeric,source-unit,,ps_g5a_u02_factor_enumeration_trial_division|ps_g5a_u02_factor_pair_enumeration|ps_g5a_u02_factor_list_from_pairs|ps_g5a_u02_factor_order_and_symmetry|ps_g5a_u02_common_factor_enumeration|ps_g5a_u02_greatest_common_factor,12,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u02_5a02_concept_1b098eadc352,g5a_u02_5a02,singleKnowledgePoint,kp_g5a_u02_factor_criterion_multiplication_division_equivalence,concept,single-form,pg_g5a_u02_factor_relation_equivalence,ps_g5a_u02_factor_relation_equivalence,8,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u02_5a02_numeric_0992f22fd619,g5a_u02_5a02,singleKnowledgePoint,kp_g5a_u02_factor_enumeration_by_division,numeric,single-form,pg_g5a_u02_factor_enumeration_division,ps_g5a_u02_factor_enumeration_trial_division,8,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u02_5a02_numeric_ba9975639686,g5a_u02_5a02,singleKnowledgePoint,kp_g5a_u02_factor_enumeration_by_multiplication_pairs,numeric,single-form,pg_g5a_u02_factor_enumeration_pairs,ps_g5a_u02_factor_pair_enumeration|ps_g5a_u02_factor_list_from_pairs,8,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u02_5a02_concept_ae6f61e2ee34,g5a_u02_5a02,singleKnowledgePoint,kp_g5a_u02_divisibility_factor_membership_judgement,concept,single-form,pg_g5a_u02_factor_membership_judgement,ps_g5a_u02_divisor_candidate_selection|ps_g5a_u02_factor_statement_judgement,16,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u02_5a02_concept_127020b0d7ef,g5a_u02_5a02,singleKnowledgePoint,kp_g5a_u02_number_theory_problem_type_discrimination,concept,single-form,pg_g5a_u02_problem_type_discrimination,ps_g5a_u02_problem_type_classification,15,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u02_5a02_numeric_39e160e247a8,g5a_u02_5a02,singleKnowledgePoint,kp_g5a_u02_common_factor_enumeration,numeric,single-form,pg_g5a_u02_common_factor_enumeration,ps_g5a_u02_common_factor_enumeration,9,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
