routeId,sourceId,selectionMode,selectedKnowledgePointIds,questionType,setKind,generationPatternGroupIds,compatiblePatternSpecIds,currentVerifiedMaxQuestionCount,currentQualityStatus,currentUniqueItemSetCount,contractGapCodes,liveAcceptanceFailures,accepted20AcrossSeeds,requiresRepair
pgc_r03_g3b_u04_3b04_application_612c077a7fcc,g3b_u04_3b04,mixedKnowledgePointsSameUnit,kp_g3b_u04_add_then_divide|kp_g3b_u04_multiply_then_divide_average_unit_price|kp_g3b_u04_subtract_then_divide|kp_g3b_u04_divide_then_add|kp_g3b_u04_total_minus_shared_amount|kp_g3b_u04_group_total_minus_remaining|kp_g3b_u04_consecutive_multiplication|kp_g3b_u04_composite_multiplicative_ratio|kp_g3b_u04_multiplicative_quantity_chain,application,mixed-all,pg_g3b_u04_add_then_divide|pg_g3b_u04_multiply_then_divide_average_unit_price|pg_g3b_u04_subtract_then_divide|pg_g3b_u04_divide_then_add|pg_g3b_u04_total_minus_shared_amount|pg_g3b_u04_group_total_minus_remaining|pg_g3b_u04_consecutive_multiplication_application|pg_g3b_u04_composite_multiplicative_ratio|pg_g3b_u04_multiplicative_quantity_chain,ps_g3b_u04_add_divide_joint_purchase_equal_share|ps_g3b_u04_add_divide_pooled_money_unit_price|ps_g3b_u04_add_divide_combined_inventory_equal_distribution|ps_g3b_u04_add_divide_combined_liquid_equal_portions|ps_g3b_u04_add_divide_promotion_total_equal_share|ps_g3b_u04_mul_div_buy_get_free_average_price|ps_g3b_u04_mul_div_bonus_units_average_cost|ps_g3b_u04_mul_div_bulk_repack_average_cost|ps_g3b_u04_sub_div_used_amount_then_share|ps_g3b_u04_sub_div_damage_loss_then_package|ps_g3b_u04_sub_div_reserved_amount_then_distribute|ps_g3b_u04_sub_div_absent_participants_then_group|ps_g3b_u04_div_add_shared_cost_plus_personal_purchase|ps_g3b_u04_div_add_new_packages_plus_existing_stock|ps_g3b_u04_div_add_distributed_resources_plus_existing_per_group|ps_g3b_u04_total_minus_share_wallet_minus_shared_purchase|ps_g3b_u04_total_minus_share_personal_budget_minus_group_fee|ps_g3b_u04_total_minus_share_reward_points_minus_shared_redemption|ps_g3b_u04_group_minus_remaining_packaged_total_minus_remaining_sold|ps_g3b_u04_group_minus_remaining_formed_teams_minus_inactive_teams|ps_g3b_u04_group_minus_remaining_prepared_trays_minus_leftover_trays|ps_g3b_u04_consecutive_items_per_row_per_box|ps_g3b_u04_consecutive_units_per_group_per_container|ps_g3b_u04_consecutive_unit_price_items_per_pack_packs|ps_g3b_u04_consecutive_length_width_layers_array|ps_g3b_u04_ratio_length_ratio_composition|ps_g3b_u04_ratio_capacity_ratio_composition|ps_g3b_u04_ratio_weight_ratio_composition|ps_g3b_u04_quantity_chain_personal_quantity_ratio_chain|ps_g3b_u04_quantity_chain_price_equivalence_chain|ps_g3b_u04_quantity_chain_production_capacity_chain|ps_g3b_u04_quantity_chain_age_ratio_chain,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3b_u08_3b08_application_973842923812,g3b_u08_3b08,sourceUnit,,application,source-unit,,ps_g3b_u08_total_daily_saving_accumulation|ps_g3b_u08_total_score_per_success|ps_g3b_u08_total_material_per_product|ps_g3b_u08_total_items_per_package|ps_g3b_u08_group_count_score_events|ps_g3b_u08_group_count_craft_products|ps_g3b_u08_group_count_equal_segments|ps_g3b_u08_group_count_packaging|ps_g3b_u08_per_group_daily_saving|ps_g3b_u08_per_group_equal_share_people|ps_g3b_u08_per_group_equal_container_capacity|ps_g3b_u08_per_group_equal_segment_length|ps_g3b_u08_reverse_base_price_multiple|ps_g3b_u08_reverse_base_quantity_multiple|ps_g3b_u08_reverse_base_length_multiple|ps_g3b_u08_reverse_base_capacity_multiple|ps_g3b_u08_estimate_near_hundred_total|ps_g3b_u08_estimate_budget_sufficiency_upper|ps_g3b_u08_estimate_exact_over_benchmark|ps_g3b_u08_estimate_exact_under_benchmark|ps_g3b_u08_same_price_compare_weight|ps_g3b_u08_same_price_compare_capacity|ps_g3b_u08_same_price_compare_item_count|ps_g3b_u08_same_price_compare_total_length,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3b_u08_3b08_application_1f40bb61bf5a,g3b_u08_3b08,singleKnowledgePoint,kp_g3b_u08_total_from_groups,application,single-form,pg_g3b_u08_total_from_groups,ps_g3b_u08_total_daily_saving_accumulation|ps_g3b_u08_total_score_per_success|ps_g3b_u08_total_material_per_product|ps_g3b_u08_total_items_per_package,18,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20,,true,true
pgc_r03_g3b_u08_3b08_application_e4d5ee302b3b,g3b_u08_3b08,singleKnowledgePoint,kp_g3b_u08_group_count_from_total,application,single-form,pg_g3b_u08_group_count_from_total,ps_g3b_u08_group_count_score_events|ps_g3b_u08_group_count_craft_products|ps_g3b_u08_group_count_equal_segments|ps_g3b_u08_group_count_packaging,17,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20,,true,true
pgc_r03_g3b_u08_3b08_application_29be55e03e0a,g3b_u08_3b08,singleKnowledgePoint,kp_g3b_u08_per_group_from_total,application,single-form,pg_g3b_u08_per_group_from_total,ps_g3b_u08_per_group_daily_saving|ps_g3b_u08_per_group_equal_share_people|ps_g3b_u08_per_group_equal_container_capacity|ps_g3b_u08_per_group_equal_segment_length,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3b_u08_3b08_application_7a6ab3aab78b,g3b_u08_3b08,singleKnowledgePoint,kp_g3b_u08_reverse_base_from_multiple,application,single-form,pg_g3b_u08_reverse_base_from_multiple,ps_g3b_u08_reverse_base_price_multiple|ps_g3b_u08_reverse_base_quantity_multiple|ps_g3b_u08_reverse_base_length_multiple|ps_g3b_u08_reverse_base_capacity_multiple,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3b_u08_3b08_application_276fa28ad0b9,g3b_u08_3b08,singleKnowledgePoint,kp_g3b_u08_shopping_estimation,application,single-form,pg_g3b_u08_shopping_estimation,ps_g3b_u08_estimate_near_hundred_total|ps_g3b_u08_estimate_budget_sufficiency_upper|ps_g3b_u08_estimate_exact_over_benchmark|ps_g3b_u08_estimate_exact_under_benchmark,17,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20,,true,true
pgc_r03_g3b_u08_3b08_application_e40dfe529252,g3b_u08_3b08,singleKnowledgePoint,kp_g3b_u08_same_price_value_comparison,application,single-form,pg_g3b_u08_same_price_value_comparison,ps_g3b_u08_same_price_compare_weight|ps_g3b_u08_same_price_compare_capacity|ps_g3b_u08_same_price_compare_item_count|ps_g3b_u08_same_price_compare_total_length,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3b_u08_3b08_application_e7d49d197b53,g3b_u08_3b08,mixedKnowledgePointsSameUnit,kp_g3b_u08_total_from_groups|kp_g3b_u08_group_count_from_total|kp_g3b_u08_per_group_from_total|kp_g3b_u08_reverse_base_from_multiple|kp_g3b_u08_shopping_estimation|kp_g3b_u08_same_price_value_comparison,application,mixed-all,pg_g3b_u08_total_from_groups|pg_g3b_u08_group_count_from_total|pg_g3b_u08_per_group_from_total|pg_g3b_u08_reverse_base_from_multiple|pg_g3b_u08_shopping_estimation|pg_g3b_u08_same_price_value_comparison,ps_g3b_u08_total_daily_saving_accumulation|ps_g3b_u08_total_score_per_success|ps_g3b_u08_total_material_per_product|ps_g3b_u08_total_items_per_package|ps_g3b_u08_group_count_score_events|ps_g3b_u08_group_count_craft_products|ps_g3b_u08_group_count_equal_segments|ps_g3b_u08_group_count_packaging|ps_g3b_u08_per_group_daily_saving|ps_g3b_u08_per_group_equal_share_people|ps_g3b_u08_per_group_equal_container_capacity|ps_g3b_u08_per_group_equal_segment_length|ps_g3b_u08_reverse_base_price_multiple|ps_g3b_u08_reverse_base_quantity_multiple|ps_g3b_u08_reverse_base_length_multiple|ps_g3b_u08_reverse_base_capacity_multiple|ps_g3b_u08_estimate_near_hundred_total|ps_g3b_u08_estimate_budget_sufficiency_upper|ps_g3b_u08_estimate_exact_over_benchmark|ps_g3b_u08_estimate_exact_under_benchmark|ps_g3b_u08_same_price_compare_weight|ps_g3b_u08_same_price_compare_capacity|ps_g3b_u08_same_price_compare_item_count|ps_g3b_u08_same_price_compare_total_length,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g4a_u01_4a01_application_d1fffee38114,g4a_u01_4a01,sourceUnit,,application,source-unit,,ps_g4a_u01_comparison_word_problem_total|ps_g4a_u01_large_number_unit_word_problem_add_subtract,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g4a_u01_4a01_application_afd50c2cb6b2,g4a_u01_4a01,singleKnowledgePoint,kp_g4a_u01_comparison_word_problem_total,application,single-form,pg_g4a_u01_comparison_word_problem_total,ps_g4a_u01_comparison_word_problem_total,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g4a_u01_4a01_application_eaef4e4bbcba,g4a_u01_4a01,singleKnowledgePoint,kp_g4a_u01_large_number_unit_word_problem_add_subtract,application,single-form,pg_g4a_u01_large_number_unit_word_problem_add_subtract,ps_g4a_u01_large_number_unit_word_problem_add_subtract,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g4a_u01_4a01_application_b803c9c013fc,g4a_u01_4a01,mixedKnowledgePointsSameUnit,kp_g4a_u01_compare_8digit|kp_g4a_u01_within_100million_compare|kp_g4a_u01_large_number_add_sub|kp_g4a_u01_8digit_place_value_decomposition|kp_g4a_u01_place_value_composition_to_number|kp_g4a_u01_same_digit_place_value_difference|kp_g4a_u01_nonstandard_place_value_composition|kp_g4a_u01_place_value_card_unit_model_composition|kp_g4a_u01_compare_first_different_place|kp_g4a_u01_missing_digit_comparison_possible_digits|kp_g4a_u01_missing_digit_comparison_extreme_digit|kp_g4a_u01_large_number_reading_writing_conversion|kp_g4a_u01_numeric_vs_chinese_number_compare|kp_g4a_u01_wan_mixed_notation_subtraction|kp_g4a_u01_boundary_number_difference|kp_g4a_u01_comparison_word_problem_total|kp_g4a_u01_large_number_unit_word_problem_add_subtract|kp_g4a_u01_digit_arrangement_max_min,application,mixed-all,pg_g4a_u01_comparison_word_problem_total|pg_g4a_u01_large_number_unit_word_problem_add_subtract,ps_g4a_u01_comparison_word_problem_total|ps_g4a_u01_large_number_unit_word_problem_add_subtract,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g4a_u02_4a02_application_381f26d07d56,g4a_u02_4a02,sourceUnit,,application,source-unit,,ps_g4a_u02_3digit_by_1digit_review,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g4a_u04_4a04_application_371414272efb,g4a_u04_4a04,sourceUnit,,application,source-unit,,ps_g4a_u04_4digit_by_1digit_thousands_exact,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
